Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut
02:23:22:23.800,61,0.106747,0.171922,0.087039,0.0,0.0,0.119085,0.0,0.106498,0.171889,0.05095,0.0,0.0,0.119071,0.0,0.03291,0.0,0.013396,0.088913,0.105935,0.052814,0.093324,0.004343,0.0,0.150091,0.166707,0.0,0.0,0.051629,0.054196,0.100309,0.104679,0.081487,0.040092,0.108206,0.056156,0.080027,0.073183,0.166086,0.165862,0.027833,0.029044,0.549978,0.549457,0.178832,0.0,0.0,0.032989,0.160272,0.16051,0.160407,0.166915,0.00017
02:23:22:24.800,61,0.102625,0.167895,0.088318,0.0,0.0,0.11938,0.0,0.10234,0.16787,0.049634,0.0,0.0,0.119365,0.0,0.032622,0.0,0.014064,0.088143,0.105103,0.052419,0.093258,0.004248,0.0,0.151021,0.166796,0.0,0.0,0.051578,0.054029,0.09967,0.104027,0.081256,0.039731,0.109148,0.056906,0.080912,0.074056,0.166667,0.166354,0.028327,0.02952,0.508447,0.507865,0.18031,0.0,0.0,0.032567,0.160671,0.160722,0.161252,0.167676,0.000213
02:23:22:25.801,61,0.099548,0.16734,0.087938,0.0,0.0,0.119623,0.0,0.099235,0.167312,0.049765,0.0,0.0,0.119607,0.0,0.032381,0.0,0.01463,0.087445,0.104447,0.05201,0.093165,0.004207,0.0,0.15262,0.167176,0.0,0.0,0.051552,0.053894,0.09917,0.103502,0.081176,0.039411,0.110018,0.057597,0.081623,0.074776,0.166831,0.166384,0.02873,0.0299,0.481563,0.480875,0.181473,0.0,0.0,0.03221,0.161155,0.161042,0.161764,0.168136,0.000217
02:23:22:26.801,61,0.098219,0.166993,0.087909,0.0,0.0,0.11991,0.0,0.097893,0.166964,0.049834,0.0,0.0,0.119892,0.0,0.032196,0.0,0.015127,0.086886,0.10398,0.051619,0.093084,0.004173,0.0,0.154988,0.168087,0.0,0.0,0.05157,0.053812,0.098799,0.103097,0.081211,0.039152,0.110788,0.058194,0.082241,0.075408,0.166865,0.166282,0.029069,0.030217,0.468783,0.468068,0.183464,0.0,0.0,0.031904,0.161735,0.161473,0.162106,0.16843,0.000235
02:23:22:27.801,61,0.096421,0.1665,0.087208,0.0,0.0,0.119999,0.0,0.096079,0.166465,0.050483,0.0,0.0,0.119981,0.0,0.03202,0.0,0.015544,0.08644,0.103718,0.051372,0.093006,0.004155,0.0,0.156203,0.168849,0.0,0.0,0.051491,0.053643,0.098641,0.102916,0.081066,0.038853,0.111196,0.058627,0.082529,0.075723,0.166879,0.166154,0.029412,0.030544,0.43482,0.434075,0.184449,0.0,0.0,0.031597,0.162375,0.162019,0.162201,0.168519,0.00026
02:23:22:28.801,61,0.093878,0.167236,0.08719,0.0,0.0,0.119991,0.0,0.093521,0.167201,0.05061,0.0,0.0,0.119972,0.0,0.031906,0.0,0.01592,0.086039,0.103509,0.051225,0.092947,0.004174,0.0,0.157364,0.169711,0.0,0.0,0.051405,0.053475,0.098598,0.102856,0.080901,0.038553,0.111595,0.059071,0.082748,0.075977,0.166861,0.165985,0.029779,0.030891,0.416708,0.415931,0.185299,0.0,0.0,0.031346,0.163405,0.162763,0.162256,0.168563,0.000245
02:23:22:29.801,61,0.09231,0.168023,0.086758,0.0,0.0,0.119829,0.0,0.091943,0.167985,0.051092,0.0,0.0,0.11981,0.0,0.03181,0.0,0.016229,0.085695,0.103378,0.05112,0.092856,0.004213,0.0,0.158274,0.170683,0.0,0.0,0.051353,0.053353,0.09862,0.102855,0.080724,0.038267,0.111905,0.059466,0.082885,0.076145,0.166743,0.165735,0.030125,0.031214,0.397457,0.396648,0.185704,0.0,0.0,0.031133,0.164199,0.163446,0.162219,0.1685,0.000252
02:23:23:00.802,61,0.091363,0.166973,0.086639,0.0,0.0,0.119655,0.0,0.09099,0.166933,0.051166,0.0,0.0,0.119635,0.0,0.031765,0.0,0.016521,0.085461,0.103389,0.050992,0.092658,0.004241,0.0,0.159243,0.172117,0.0,0.0,0.051353,0.053297,0.098731,0.102954,0.080671,0.038045,0.112103,0.059751,0.082954,0.076245,0.166602,0.165472,0.030414,0.031483,0.375079,0.374297,0.186031,0.0,0.0,0.030945,0.164914,0.164103,0.162093,0.168339,0.000281
02:23:23:01.802,61,0.090584,0.165999,0.086658,0.0,0.0,0.119484,0.0,0.090208,0.165958,0.051112,0.0,0.0,0.119465,0.0,0.031699,0.0,0.016757,0.085219,0.103351,0.050936,0.092457,0.004313,0.0,0.160068,0.173076,0.0,0.0,0.051325,0.053213,0.098847,0.103052,0.080458,0.037787,0.112245,0.060044,0.082928,0.076248,0.166469,0.165227,0.030752,0.031798,0.36553,0.364734,0.186243,0.0,0.0,0.030743,0.165594,0.164748,0.161873,0.168059,0.000264
02:23:23:02.802,61,0.090202,0.165708,0.086954,0.0,0.0,0.119186,0.0,0.089823,0.16567,0.050781,0.0,0.0,0.119166,0.0,0.031624,0.0,0.016955,0.08501,0.103386,0.050918,0.092204,0.00435,0.0,0.160731,0.173914,0.0,0.0,0.051258,0.053103,0.099056,0.103245,0.080209,0.037516,0.11223,0.060246,0.082759,0.076118,0.166328,0.165003,0.031091,0.032121,0.348955,0.348139,0.186277,0.0,0.0,0.030526,0.16619,0.165335,0.161625,0.167768,0.000232
